Iduser,Vclogin,Vcsenha,Dtcadastro
33,aluno,@alun0,2018-01-24 19:20:35
34,aluno,@alun1,2018-01-24 19:23:50
35,aluno,@alun1,2018-01-24 19:24:50
36,aluno,@alun1,2018-01-24 19:25:01
37,aluno,@alun1,2018-01-24 19:26:31
38,aluno,@alun1,2018-01-24 19:28:21
39,aluno,@alun1,2018-01-24 19:28:40
40,aluno2,@alun2,2018-01-24 20:37:50
41,aluno3,@alun3,2018-01-24 20:42:03
27,Mestre,kalpasdebudas,2017-12-06 21:14:16
1,user01,SENHAPAD,2017-12-05 20:19:37
18,user02,senh02,2017-12-05 21:04:12
19,user03,senh03,2017-12-05 21:04:12
25,user03,senh03,2017-12-06 21:13:14
23,user04,senh04,2017-12-06 21:12:44
21,user05,senh05,2017-12-05 22:04:28
24,user05,senh05,2017-12-06 21:12:56
28,user05,senh05,2017-12-06 21:14:28
29,user05,senh05,2017-12-06 21:14:38
30,user05,senh05,2017-12-06 21:15:08
31,user05,senh05,2017-12-06 21:16:18
32,user05,senh05,2017-12-06 21:27:51
20,user06,senh06,2017-12-05 22:04:03
22,user07,senh05,2017-12-06 21:10:06
